IMAGE-PATH,IMAGE-NAME,IMAGE-1st-DOMINANT-COLOR,IMAGE-2nd-DOMINANT-COLOR
zip file/MDR-MTO-ABS18.jpg,MDR-MTO-ABS18.jpg,Pastel Orange,Dark Brown
zip file/MTO-PAT361-PUR.jpg,MTO-PAT361-PUR.jpg,Licorice,Mauve
zip file/MTO-PAT364-BLU.jpg,MTO-PAT364-BLU.jpg,Dark Purple,Lavender
zip file/MTO-AR-TR-10.jpg,MTO-AR-TR-10.jpg,Licorice,Eggshell
zip file/MDR-MTO-ABS27.jpg,MDR-MTO-ABS27.jpg,Copper,Peach
zip file/MDR-MTO-URB25.jpg,MDR-MTO-URB25.jpg,Matte Black,Rose Gold
zip file/MTO-AR-TR-23.jpg,MTO-AR-TR-23.jpg,Licorice,Light Brown
zip file/MTO-AR-TR-27.jpg,MTO-AR-TR-27.jpg,Licorice,Eggshell
zip file/MDR-MTO-ABS23.jpg,MDR-MTO-ABS23.jpg,Tan,Coffee
zip file/MTO-PAT363-GRY.jpg,MTO-PAT363-GRY.jpg,Matte Black,Light Gray
zip file/MDR-MTO-URB34.jpg,MDR-MTO-URB34.jpg,Bone White,Taupe
zip file/MDR-MTO-ABS20.jpg,MDR-MTO-ABS20.jpg,Oxblood,Pastel Orange
zip file/MTO-AR-TR-9.jpg,MTO-AR-TR-9.jpg,Licorice,Almond
zip file/MDR-MTO-URB37.jpg,MDR-MTO-URB37.jpg,Alabaster,Linen
zip file/MTO-PAT365-BRN.jpg,MTO-PAT365-BRN.jpg,Marsala,Desert
zip file/MTO-AR-TR-35.jpg,MTO-AR-TR-35.jpg,Alabaster,Black
zip file/MDR-MTO-ABS40.jpg,MDR-MTO-ABS40.jpg,Light Orange,Coffee
zip file/MTO-PAT363-ORG.jpg,MTO-PAT363-ORG.jpg,Oxblood,Pastel Orange
zip file/MDR-MTO-ABS13.jpg,MDR-MTO-ABS13.jpg,Pastel Orange,Burnt Umber
zip file/MTO-AR-TR-21.jpg,MTO-AR-TR-21.jpg,Linen,Licorice
zip file/MDR-MTO-URB10.jpg,MDR-MTO-URB10.jpg,Charcoal,Off White
zip file/MDR-MTO-URB40.jpg,MDR-MTO-URB40.jpg,Buff,Russet
zip file/MTO-PAT364-LBLU.jpg,MTO-PAT364-LBLU.jpg,Sand,Burnt Umber
zip file/MTO-AR-TR-15.jpg,MTO-AR-TR-15.jpg,Pearl,Licorice
zip file/MTO-AR-TR-3.jpg,MTO-AR-TR-3.jpg,Licorice,Slate Gray
zip file/MTO-PAT364-RD.jpg,MTO-PAT364-RD.jpg,Bone White,Falu Red
zip file/MDR-MTO-ABS1.jpg,MDR-MTO-ABS1.jpg,Desert,Falu Red
zip file/MTO-AR-TR-28.jpg,MTO-AR-TR-28.jpg,Dark Purple,Pewter
